name,Summary,actors,director,BigCategory,SmallCategory,Category,runningtime,SMRY
뽀롱뽀롱 뽀로로 시즌6,,"뽀로로,에디,루피,크롱,패티,포비,해리",,키즈,애니메이션,키즈,13,"크롱의 작은 친구. 통통이를 따라 숲으로 간 크롱과 뽀로로. 뽀로로는 장난을 치다 그만 나무에 부딪히는데, 그 충격으로 나뭇가지가 흔들려 애벌레가 뽀로로 얼굴에 툭 떨어진다. 통통이가 뽀로로 얼굴에서 애벌레를 떼어 나무 위에 살던 애벌레라고 알려준다."
새로운아따맘마,,"엄마,아빠,오아리,오동동",,키즈,애니메이션,키즈,21,"1. 아빠 마음을 알아채는 엄마. 이심전심, 아빠가 굳이 말로 하지 않아도 다 알아챈다는 엄마. 하지만 엄마는 아빠의 단답형 대답을 엉뚱하게 오해하고 아빠가 원하는 것과 다른 행동을 보이는데... 2. 토끼 낙서. 3. 우산을 쓰고 싶지 않은 원중이."
알쏭달쏭 캐치! 티니핑,,"로미,하츄핑,마야,메리루,사라",,키즈,애니메이션,키즈,11,"안녕 열쇠티니핑. 게이트를 닫아 모두를 지키려는 로미와 게이트를 열어 부모를 만나려는 제니가 격돌한다. 간절한 마음에 행운핑은 비밀을 밝혀 진실을 알려준다. 제니는 부모님과 재회하지만, 게이트가 폭주한다."
안녕자두야 시즌5,,최자두,,키즈,애니메이션,키즈,14,"자두와 앵두 (하). 모함글 하나로 순식간에 대역죄인으로 찍힌 자두 가족. 자두와 앵두는 결백을 증명하기 위해, 자두와 친구들이 10살 때 묻은 롤링페이퍼를 찾아나선다."
출동! 슈퍼윙스5,,"호기,아리,샛별,하늘",,키즈,애니메이션,키즈,12,돌아라! 슈퍼 팽이(일본). 호기는 일본 삿포로에 사는 켄타에게 팽이를 배달한다. 호기가 전해 준 팽이로 대회에 출전한 켄타는 결승전에 진출해 고로와 우승을 다투게 된다. 하지만 거대한 팽이를 가진 골든보이가 나타나 결승전에 끼어드는데...
뽀스타그램2,,뽀로로와 친구들,,키즈,애니메이션,키즈,22,"타요 특집: 멋진 내 친구들! 경찰차도, 소방차도, 모두모두 멋진 내 친구야! [해시태그] 세상에서 제일멋진 친구들"
마법버스 타요,,"타요,로기,라니,가니,루나,칼리,버드,프로디,멜로디,그렝리,디오,아수라,하나",,키즈,애니메이션,키즈,11,"모험의 시작. 평화로운 일상 생활을 하던 타요와 꼬마버스들은 인간 세계에서 벌어지는 마법사들의 전투에 휘말려, 나쁜 마법사들이 차지하려던 태양의 스톤 마법을 흡수하고 만다."
쫑알쫑알 똘똘이 시즌5,,"똘똘이,똘봉이,몽실이,아빠,엄마,고양이,똘랑이,앵두,토솜이",,키즈,애니메이션,키즈,14,"장기 자랑. 장기 자랑을 나가게 된 똘똘이. 장기 자랑을 위해 노래 연습을 한다. 노래가 없어 허전한 똘똘이, 노래가 나오는 마이크를 받고는 연습을 하는데... 언니가 하는 모든 것을 따라 하려는 똘랑이, 마이크를 사이에 두고 옥신 각신하다 마이크를 망가뜨리고 만다."
빼꼼 시즌2,,"빼꼼,꼴통,꽁꽁",,키즈,애니메이션,키즈,17,달 여행. 우연히 우주선을 발견한 빼꼼. 우주선을 타고 달에 착륙하게 됩니다. 빼꼼은 그곳에서 만난 외계인을 괴롭히며 우주생활을 즐기네요.
반짝반짝 캐치! 티니핑,,"로미,하츄핑,마야,메리루,사라",,키즈,애니메이션,키즈,11,반짝반짝 보석티니핑. 로미가 친구들과 함께 소원을 빌었던 별똥별이 사실은 이모션왕국의 보석숲에서 떨어진 보석티니핑들이었다. 정체불명 가면핑의 술수로 친구들이 지구에 떨어진 걸 알게 된 세 학생은 무작정 쥬얼하트윙폰을 훔쳐 지구로 향하는데...
출동! 슈퍼윙스3,,"호기,아리,샛별,하늘",,키즈,애니메이션,키즈,12,"망아지 구출 대작전. 호기는 아르헨티나 파타고니아에 사는 소녀 나일라에게 스케치북을 배달한다. 나일라와 함께 어미 말과 망아지를 보러 간 호기. 그러나 호기는 망아지가 사라졌다는 사실을 알게 되고, 아리의 구조 팀이 호기를 돕기 위해 출동하는데…"
쫑알쫑알 똘똘이,,"똘똘이,똘봉이/몽실이,아빠/거미,엄마/고양이",,키즈,애니메이션,키즈,14,"사라진 똘봉이. 물총을 쏴대며 앵두와 몽실이를 괴롭히는 똘봉이. 거실에서 감자를 먹으려던 똘봉이는 쥐를 발견하고, 감자로 쥐를 괴롭히기 위해 쫓다가 하수구에 빠지고 마는데..."
포켓몬스터 썬 앤 문,,"지우,피카츄,로토무도감,릴리에,키아웨,마오,수련,마마네,쿠쿠이박사,오 교장,로켓단",,키즈,애니메이션,키즈,23,"미래로 이어지게 하라! 빛나는 그분의 전설!! Z파워를 이용해 네크로즈마를 부활시키는 데 실패한 지우 일행. 그들은 곧 루자미네를 통해 알로라의 모든 사람 및 포켓몬의 힘이 필요하다는 사실을 알게 되고, 수호신 포켓몬을 따라 네크로즈마에게 힘을 보내기 시작한다."
마카앤로니2,,"마카,로니,알버트 박사,알바고",,키즈,애니메이션,키즈,12,1. [거대바퀴벌래] 실험실 쓰레기 더미에서 발견된 거대한 생명체 2. [재미있는 설거지] 귀찮은 설거지를 어떻게 하면 재미있게 할 수 있을까? 3. [벤츠] 자동차를 발명한 벤츠에 대해 알아보자.
티티체리 스페셜,,"체리,베리",,키즈,애니메이션,키즈,11,"포그냥을 잡아라!(2). 더욱 업그레이드된 티티 크루, 이제 포그냥을 잡으러 가볼까? 하지만 포그냥 찾기가 너무 힘들다! 마침 딸기 요정이 포그냥이 좋아하는 것들을 알려준다. 포그냥을 불러내기 위해 작전을 바꾸는 티티 크루, 이번에야말로 포그냥을 잡을 수 있을까?!"
빼꼼 시즌1,,빼꼼,,키즈,애니메이션,키즈,10,우연히 외계인과 만나게 된 놀던 빼꼼. 우연히 하늘에서 우주선을 발견하고 새총으로 쏴 불시착시킵니다. 외계인을 만난다는 마음으로 한층 기분이 좋아진 빼꼼. 하지만 외계인은 너무 느리게 움직여 빼꼼의 속을 타게 하네요.
NEW 뽀롱뽀롱 뽀로로1,,"뽀로로,크롱,패티,루피,에디,로디,포비,해리,통통이,삐삐,뽀뽀",,키즈,애니메이션,키즈,6,루피와 춤을. 잡지에 나온 늘씬한 어른 비버의 사진을 보고 자신의 키가 작다고 생각하게 된 루피는 우울해졌어요. 집에 놀러 온 친구들은 우울해하는 루피의 모습을 보고 기분을 풀어주려고 노력해요.
아기상어 올리와 윌리엄 2 ,,올리,,키즈,애니메이션,키즈,12,"최고의 아이스크림. 마을 내 비상 상황으로 빙하 아이스크림 가게 주인 스쿱스가 자리를 비워 올리와 윌리엄이 임시로 가게를 맡게 되고, 씨튜브 아이스크림 먹방 스타인 눈보라 마법사가 가게를 찾아온다. 과연 올리와 윌리엄의 아이스크림은 호평을 받을 수 있을까?"
토끼네 집으로 오세요 시즌4,,"맥스,루비,아빠,엄마",,키즈,애니메이션,키즈,22,"무더운 날씨에 아빠와 엄마는 마당에 간이 수영장을 준비했다. 그레이스와 올리버도 처음으로 물놀이를 하게 되는 날. 모두가 기대에 차 있지만, 정작 쌍둥이는 물에 들어가기 싫어한다. / 루비와 루이즈는 토끼 스카우트 배지 축제에 맞춰 어린이 선생님 배지를 받고 싶다."
헬로카봇 시즌11 쌈바,,"차탄,저스포스",,키즈,애니메이션,키즈,11,"어! 우주로 박사님 연락이다! 우주선 삐약이 1호를 만드셨던 그분이야! 예? 이번엔 금성에 가신다고요? 금성으로 가는 우주선, 삐약이 2호 등장! 하지만 아무래도 불안한데? 카봇! 우리가 박사님을 도와드리자! 우주로 가는 꿈을 위해 출동이다!"
 출동! 리나왕국 대작전,,뽀로로와 친구들,,키즈,애니메이션,키즈,46,"말하고 움직이는 왕자 인형을 만나게 된 뽀롱뽀롱 마을 친구들. 왕자 인형은 자신을 리나 왕국의 왕자 저스틴이라 소개하고, 사악한 파블로의 음모로 인형이 되었다 설명한다. 뽀로로와 친구들을 왕자를 도와 파블로를 물리치기 위해 길을 떠나는데..."
와글와글 꼬꼬맘,,"꼬꼬맘,아빠,탐정이,모자,그림이,인형이,붕붕이,영웅이,노래,재미,흥미,잠보",,키즈,애니메이션,키즈,12,슈퍼 행사에서 카메라가 당첨된 꼬꼬맘은 병아리들과 사진을 찍으며 신이 난다. 병아리들은 카메라로 마을 사람들을 찍기로 한다. 처음엔 어색해하던 마을 사람들도 어느새 자기 일에 빠져들고 열심히 일하는 사람들의 모습을 카메라에 담은 병아리들은 사진전을 열기로 한다.
출동! 슈퍼윙스6,,"호기,아리,도니,봉반장",,키즈,애니메이션,키즈,12,"호기가 리디아라는 소녀에게 소방관 복장을 배달한다. 리디아의 엄마는 아마존 열대 우림의 소방관인데, 리디아는 소방관 엄마를 아주 자랑스러워하고 자신도 언젠가 엄마 같은 소방관이 되길 원한다. 엄마가 실제로 산불을 끄러 나간 사이 리디아는 멋진 소방관이 되었는데.."
뽀로로와 타요의 신기한 마법구슬,,"뽀로로,타요",,키즈,애니메이션,키즈,12,그림 마법. 오늘의 마법 주제는 그림 마법! 마법의 스케치북에 그림을 그리면 실제로 나타나는 그림 마법 이야기를 만나볼까?
뽀로로 히어로무비:슈퍼영웅의탄생,,뽀로로와 친구들,,키즈,애니메이션,키즈,42,"슈퍼영웅이 되고 싶은 뽀로로는 초능력을 얻기 위해 영웅 훈련을 받는다. 악당 로봇, 나쁜 마법사, 무시무시한 공룡이 나타나 뽀로로의 앞을 가로막는데..."
마카앤로니,,"마카,로니,알버트 박사,알바고",,키즈,애니메이션,키즈,5,마카와 로니가 박사의 얼굴에 낙서를 지우려고 하지만 결국 실패하고 인터뷰는 시작된다.
라바 인 뉴욕,,"옐로,레드",,키즈,오락,키즈,5,1 시간이 흐른 뒤. 2 굿바이 뉴욕 1. 3 굿바이 뉴욕 2.
라바와 함께 즐거운 게임,,"레드,옐로우",,키즈,오락,키즈,15,"[라바 블록 합치기] 레드, 옐로우와 함께 라바 캐릭터를 플레이해 보세요! 귀여운 라바 캐릭터들과 숫자가 일치하는 블록을 선택해서 숫자의 크기를 키워나가는 게임입니다. 블록이 합쳐질 때마다 다양한 라바의 표정을 볼 수 있습니다."
모야모야 시즌1,,"김은영,손광덕",,키즈,학습,키즈,8,다양한 소리를 생활 속 사물을 통해 알아본다.
팔도밥상PLUS,,"이원일,김나니,황광희,오세득",,우리동네,연예/오락,TV프로그램,47,팔방미인 알로에로 만든 사상 최초! 알로에 밥상을 경상남도 김해에서 만나보자! 팔도밥상 플러스
장윤정의 도장깨기,,"장윤정,도경완",,우리동네,연예/오락,TV프로그램,54,"최고령 싱어송하리터 홍쌍리와 비운의 트로트 걸그룹 비비추 은영, 신이나의 실력을 파악한다! 장윤정의 도장깨기"
"믿거나 말거나, 진짜야",,"알랭 샤바,레아 드루케",,영화,SF/환타지,영화,73,쿠엔틴 듀피유의 기발한 상상은 멈추지 않는다. 이사 온 집 지하에 마법의 터널이 있다면 어떻게 반응할까? 마을을 로우키라 일컫는 데서 보듯 그의 영화로선 드물게 울적한 코미디다. 게다가 바흐를 흐물거리게 편곡한 존 산토의 신디사이저가 정신을 몽롱하게 한다.
몽키킹 5 절대신공,,"장 펑,쟈오 시통",,영화,SF/환타지,영화,70,서비스 해지시까지 시청 가능. 태상노군은 금단으로 철선을 탄생시켜 사제인 보리에게 그녀를 맡긴다. 그후 철선은 우마왕과 사랑에 빠지지만 그들에겐 하늘이 정해준 운명이 있었다. 운명을 거스르면 큰 재앙이 올 것을 안 철선은 마음을 거두고 태상노군에게 돌아가는데...
음양산,,"앙가희,비동",,영화,SF/환타지,영화,0,"전쟁의 요충지로 수많은 병사들이 죽임을 당한 음양산. 그곳에서 매년 여덟 명이 죽는다는 괴소문이 돌기 시작한다. 음양산으로 취재를 나갔던 팡위안이 의문의 사고로 실종되자, 팡위안의 아버지는 명탐정 그린을 찾아가 딸을 찾아 달라고 하는데..."
스파이형 모델,,"주종혁,이아주,장현동,이병수,박진수,유상재,이영재,윤종구",,영화,SF/환타지,영화,86,"취업 준비생 형우는 우연히 어떤 남자의 지갑을 찾아준다. 그런데 이 남자 이상하다. 병약해 보이는 얼굴은 피투성이고, 지갑엔 엔화가 들어있다. 다음날 형우가 또 발견했을 때, 건달 두 명이 이 남자를 쫓아 으슥한 곳으로 들어가는데..."
아이언 맨3,,"로버트 다우니 주니어,기네스 펠트로,돈 치들,벤 킹슬리,가이 피어스,레베카 홀,폴 베타니,존 파브로",,영화,SF/환타지,영화,0,최악의 테러리스트 만다린을 내세운 AIM의 공격으로 그에게 남은 건 망가진 수트 한벌 뿐. 모든걸 잃어버린 그는 다시 테러로부터 세계와 사랑하는 여인를 지켜내야 하는 동시에 머릿속을 떠나지 않던 한가지 물음의 해답도 찾아야만 한다.
기문환생,,"원교,하색",,영화,SF/환타지,영화,91,리그 오브 레전드를 좋아하는 대학생의 혼이 수천 년 전 봉국 대왕 조부풍의 몸으로 들어가게 된다. 그는 봉국의 궁에 침투해 군사가 되려는 적국인 양형국의 간첩 하로호와 맞닥뜨린다. 한편 조부풍에게는 미래를 내다보는 능력이 있었는데...
미녀와 야수   실사판,,"엠마 왓슨,댄 스티븐스,루크 에반스,조시 게드,이완 맥그리거,이이안 맥켈런,엠마 톰슨,네이튼 맥",,영화,SF/환타지,영화,0,"어느 날 행방불명 된 아버지를 찾아 폐허가 된 성에 도착한 벨은 저주에 걸린 야수를 만나 아버지 대신 성에 갇히고, 성 안의 모든 이들이 신비로운 장미의 마지막 꽃잎이 떨어지기 전에 저주를 풀지 못하면 영원히 인간으로 돌아올 수 없는 운명임을 알게 되는데..."
코드 8,,"로비 아멜,스티븐 아멜,성 강,아론 에이브람스",,영화,SF/환타지,영화,1,"근 미래, 인류의 4%뿐인 초능력자 특수 인간의 능력이 통제받는 세상. 인간들은 그들을 범죄자로 취급하며 감시와 탄압을 일삼는다. 죽음으로 내모는 인간들의 악랄함에 특수 인간은 살아남기 위해 목숨을 건 최후의 전쟁을 시작한다."
가디언즈 오브 갤럭시 1+2+3,,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼",,영화,SF/환타지,영화,407,본 콘텐츠는 가디언즈 오브 갤럭시 1~3 본편이 함께 제공되며 서비스 해지 시까지 시청 가능합니다. [가디언즈 오브 갤럭시] 00:00:00 / [가디언즈 오브 갤럭시 VOL.2] 02:01:06 / [가디언즈 오브 갤럭시 VOL.3] 04:16:59.
오비터 9,,"클라라 라고,알렉스 곤잘레스,벨렌 루에다,안드레스 파라,크리스티나 릴리,넬슨 카마요",,영화,SF/환타지,영화,94,"서비스 해지 시까지 시청 가능. 가끔 이 상황이 말도 안된다고 생각해요 -헬레나. 우주에서 홀로 20년 간 부유하던 그녀 앞에, 진실을 답해 줄 남자 알렉스가 나타난다. 성과주의 프로젝트 보다 더 소중한 건 무엇일까란 질문에 대해 넷플릭스 [나르코스] 제작진이 답한다."
쌍세신등,,"궁정남,원령언,정동,기도",,영화,SF/환타지,영화,77,보련진 마을은 겉으로 보면 아무렇지 않은 듯 보이지만 음흉한 기운이 맴돌고 있다. 요괴들이 나타나기도 하며 무고한 사람들이 실종되기도 한다. 보련등만 찾으면 세상의 질서가 돌아와 인간이 선해진다는 소문을 들은 영락은 보련진으로 향한다.
스타워즈5 제국의역습,,"마크 해밀,해리슨 포드,캐리 피셔",,영화,SF/환타지,영화,0,"죽음의 별은 폭파시켰지만, 수와 무기에 있어서 열세인 반란군은 제국군에게 밀려서 우주의 변방인 얼음의 혹성에서 재기의 기회를 노리고 있었다. 정찰에 나섰다가 얼음속에 사는 괴물에게 납치되어 다시 구출되는 과정에서 루크는 제다이 기사단의 스승 요다를 찾아가는데.."
도쿄 구울,,"쿠보타 마사타카 ,시미즈 후미카 ,아오이 유우 ,스즈키 노부유키,오오이즈미 요,무라이 쿠니오,사쿠라다 히요리,아이다 쇼코",,영화,SF/환타지,영화,120,"인간과 공존하며, 인간을 먹이로 하는 구울. 대학생인 카네키는 구울의 먹이가 될 뻔했다가 겨우 살아나지만 구울로 변해버린다. 인간과 공존하기 위해 규칙을 만든 구울과 구울을 사냥하려는 정부조직과의 처절한 대결이 벌어진다."
해리포터와죽음의성물 1부,,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트,빌 나이,리차드 그리피스,해리 멜링,줄리 월터스,보니 라이트",,영화,SF/환타지,영화,0,"해리포터와 죽음의 성물 1부. 본 콘텐츠는 평생소장 콘텐츠로 서비스 해지 시까지 시청이 가능합니다. 덤블도어 교장의 죽음 이후, 마법부는 죽음을 먹는 자들에 점령당하고 호그와트는 위기에 빠진다. 해리와 론, 헤르미온느는 성물 호크룩스를 찾으려 떠나는데..."
배트맨 대 슈퍼맨 저스티스의시작,,"헨리 카빌,밴 애플렉,에이미 아담스,로렌스 피시번,제시 아이젠버그,제레미 아이언스,홀리 헌터,갤 가돗",,영화,SF/환타지,영화,0,"본 콘텐츠는 배트맨 대 슈퍼맨 저스티스의 시작 확장판, 극장판, 부가영상이 함께 제공되는 평생소장 상품으로 서비스 해지 시까지 시청이 가능하며, 30분 추가된 확장판 종료 후 3시간부터 극장판이 시작됩니다. 극장판 종료 후 5시간 32분 부터 부가영상이 시작됩니다."
특수부대 사이보그 솔저,,"크리스틴 퀸트롤,다리오 딕",,영화,SF/환타지,영화,0,"해병 특수수색대는 위험에 처한 뮬러 교수를 구하기 위해 외딴섬에 위치한 연구소, 제이콥 기지로 향한다. 기지에 도착한 수색대는 교수가 실종됐음을 알게 되고, 설상가상으로 정체를 알 수 없는 존재에게 쫓기는 신세가 되는데..."
지구 멸망의 날,,"커일 칼빈,매티 조 카우서트,마일리 로즈,르존 우즈,리처드 워딩햄,엘리스 로빈스키,안젤라 렐루시오,브리스톨 포메로이",,영화,SF/환타지,영화,87,"스펜서는 부인 린과 딸 조이를 데리고 몇십 년 만에 고향 오니온타로 돌아온다. 하지만 이사 온 첫날, 나사에서 오니온타로 소행성이 떨어진다는 충격적인 발표를 하고 얼마 지나지 않아, 소행성의 추락 지점이 스펜서의 집이라는 충격적인 소식이 들려온다."
매트릭스 2   리로디드,,"키아누 리브스,로렌스 피쉬번,캐리 앤 모스,휴고 위빙",,영화,SF/환타지,영화,0,"워쇼스키 남매 감독의 매트릭스 신화 그 두번째. 무엇을 상상하든 그 이상을 보게 될 것이다. 빨간 알약과 함께 이상한 나라의 정체에 한발 다가선 네오. 만일, 예언이 사실이라면... 모든 것은 선택으로부터 시작되었다. 인류의 운명을 건 필사의 전투가 시작된다."
해리 포터와 아즈카반의 죄수,,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트,로비 콜트레인,티모시 스폴,게리 올드만,마이클 갬본,앨런 릭먼",,영화,SF/환타지,영화,0,해리포터와 아즈카반의 죄수. 본 콘텐츠는 평생소장 콘텐츠로 서비스 해지 시까지 시청이 가능합니다. 13세가 된 해리 포터는 또 한번의 여름 방학을 이모 가족인 더즐리 일가와 우울하게 보내야 했다. 물론 마법을 쓰는 건 일체 금지인데...
뤽 베송의 마지막 전투,,"피에르 졸리베,장 부이스,프리츠 웨퍼,장 르노",,영화,SF/환타지,영화,0,"본 콘텐츠는 평생소장 콘텐츠로 서비스 해지 시까지 시청이 가능합니다. 레옹, 테이큰의 뤽 베송 감독의 장편 데뷔작. 폐허가 된 세상, 주인공은 생존을 위해 살인을 저지른 뒤 비행기를 타고 낯선 곳에 불시착한다. 그곳에서 악당과 결투를 벌이다가 부상을 입게 되는데..."
아인,,"사토 타케루,아야노 고,하마베 미나미,카와에이 리나,타마야마 테츠지,시로타 유,치바 유다이,야마다 유키",,영화,SF/환타지,영화,1,"평범한 의대생 케이는 교통사고 사망 직후 되살아나, 공식 보고된 3번째 아인으로 정부의 감시를 받는다. 한편, 죽지 않는 아인을 잔혹한 비밀 생체실험에 이용해 온 정부 산하의 연구소가 정체를 알 수 없는 아인, 사토의 공격을 받고 케이는 그 틈을 타 자취를 감추는데..."
더 문,,"설경구,도경수,김희애,박병은,조한철,최병모,홍승희",,영화,SF/환타지,영화,129,홀로 달에 고립된 우주 대원과 필사적으로 그를 구하려는 전 우주센터장의 사투를 그린 SF 영화.
해리 포터와 비밀의 방,,"다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,케네스 브래너,존 클리즈,로비 콜트레인,워윅 데이비스,리차드 그리피스",,영화,SF/환타지,영화,0,"해리 포터에겐 이번 방학이 별로 즐겁질 못했다. 마법이라면 질색하는 페투니아 이모와 버논 이모부의 구박도 그렇지만, 더 속상한 건 단짝 론과 헤르미온느가 편지에 답장 한 통 없다는 것인데..."
요묘전: 레전드 오브 더 데몬 캣,,"소메타니 쇼타,황헌,아베 히로시,류호연,장우기,장용용,신백청,친하오",,영화,SF/환타지,영화,129,"당나라 황제가 약 7일간 잠이 들지 못하는 우환 끝에 사망하는 기묘한 일이 발생한다. 비밀리에 부름받은 일본의 주술 법사 쿠카이는 황궁의 기록 담당, 시인 백거이와 함께 사건을 추적하던 중, 악령 고양이의 저주로 인한 황궁 연쇄살인 사건임을 알게 되는데..."
인어공주,,"할리 베일리,다비드 디그스,아콰피나,조나 하우어-킹",,영화,SF/환타지,영화,271,본 콘텐츠는 자막+더빙이 함께 제공되는 상품으로 서비스 해지 시까지 시청이 가능합니다. 자막판 종료 후 02:15:25부터 더빙판이 시작됩니다. 널리 사랑받는 인어공주 에리얼의 이야기가 생동감 넘치는 영화로 찾아온다.
퍼스트맨,,"라이언 고슬링,클레어 포이,제이슨 클락,카일 챈들러,패트릭 후짓,시아란 힌즈,에단 엠브리,쉐어 위햄,코리 스톨,파블로 쉬레이버",,영화,SF/환타지,영화,141,"서비스 해지 시까지 시청 가능. 이제껏 누구도 경험하지 못한 세계에 도전한 우주비행사 닐 암스트롱은 거대한 위험 속에서 극한의 위기를 체험하게 된다. 전 세계가 바라보는 가운데, 그는 새로운 세상을 열 첫 발걸음을 내딛는다. 이제, 닐의 인생도, 세계도 달라질 것이다."
악마의 부활,,"앨리스 오르 에윙,조 도일,에블린 홀",,영화,SF/환타지,영화,111,"토리노 박물관에서 전시 중이던 예수 그리스도의 시신을 감쌌던 수의가 강탈되는 장면을 목격하면서 미국에서 유학 온 예술대 학생 로라의 운명이 참극으로 치닫게 된다. 로라에게 착상한 생명은 사탄인가, 재림 예수인가?"
천사몽,,"윤태영,여명,박은혜,이나영,김지무,윤주상,진봉진",,영화,SF/환타지,영화,84,"여명, 박은혜, 윤태영, 이나영 주연의 SF 로맨스. 테러 진압 대원인 성진은 시공간 이동 장치를 통해 딜문의 전사 딘이었던 자신의 전생을 알게 된다. 성진은 전생에 사랑했던 로제 공주의 생명을 되돌리고, 딜문에 갇혀있는 그녀를 구하기 위해 다시 딜문으로 향한다."
신과함께 인과연,,"하정우,주지훈,김향기,마동석,김동욱,이정재,조한철,임원희,정지훈,남일우",,영화,SF/환타지,영화,141,"서비스 해지시까지 시청 가능. (부가영상 포함). 48명의 망자를 환생시킨 저승 삼차자들. 마지막 49번째 귀인으로 원귀였던 수홍이 선택되고, 수홍은 강림과 함께 새로운 지옥 재판들을 만난다. 한편 해원맥과 덕춘은 허춘삼이라는 망자를 데리러 이승으로 내려가는데..."
몽키킹,,"견자단,주윤발,곽부성,진혜림,하재동,허룬동,정가성,진교은",,영화,SF/환타지,영화,0,슈퍼히어로 손오공. 전설의 그가 여의봉을 들고 다시 돌아왔다. 마계우마왕군단과의 전투에서 힘겹게 승리한 옥황상제는 여신의 희생으로 얻은 신비의 수정으로 천궁을 복원한다. 그중 땅으로 떨어진 수정에서 수천년 동안 해와 달의 힘을 받아 슈퍼히어로 손오공이 태어난다.
